arm,x86,score
function:cJSON_GetErrorPtr,function:cJSON_GetErrorPtr,
"ldr r0, <str>
ldr r1, [r0]
ldr r0, [r0, 0]
add r0, r1, r0
mov pc, lr
","pushl ebp
movl esp, ebp
movl <tag>, eax
movl <tag>, ecx
addl ecx, eax
popl ebp
retl
",1
function:cJSON_GetStringValue,function:cJSON_GetStringValue,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r1, r0
str r0, [sp, 0]
ldr r0, [sp, 0]
bl foo
cmp r0, 0
bne <tag>
b <tag>
","pushl ebp
movl esp, ebp
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl ecx, 0(esp)
movl eax, 0(ebp)
calll foo
cmpl 0, eax
jne <tag>
",1
"mov r0, 0
str r0, [r11, 0]
b <tag>
","movl 0, 0(ebp)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r0, [r0, 0]
str r0, [r11, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), eax
movl eax, 0(ebp)
",1
"ldr r0, [r11, 0]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl ebp
retl
",1
function:cJSON_IsString,function:cJSON_IsString,
"sub sp, sp, 0
mov r1, r0
str r0, [sp, 0]
ldr r0, [sp, 0]
cmp r0, 0
bne <tag>
b <tag>
","pushl ebp
movl esp, ebp
subl 0, esp
movl 0(ebp), eax
cmpl 0, 0(ebp)
movl eax, 0(ebp)
jne <tag>
",1
"mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0, 0(ebp)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldrb r0, [r0, 0]
sub r0, r0, 0
rsbs r1, r0, 0
adc r0, r0, r1
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), eax
andl 0, eax
cmpl 0, eax
sete cl
andb 0, cl
movzbl cl, eax
movl eax, 0(ebp)
",1
"ldr r0, [sp, 0]
add sp, sp, 0
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl ebp
retl
",1
function:cJSON_Version,function:cJSON_Version,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r0, sp
mov r1, 0
str r1, [r0]
ldr r0, <str>
ldr r1, <str>
mov r2, 0
mov r3, 0
bl foo
mov r0, r1
mov sp, r11
pop {r11, lr}
mov pc, lr
","pushl ebp
movl esp, ebp
subl 0, esp
leal <tag>, eax
movl eax, 0(esp)
leal <tag>, eax
movl eax, 0(esp)
movl 0, 0(esp)
movl 0, 0(esp)
movl 0, 0(esp)
calll foo
leal <tag>, ecx
movl eax, 0(ebp)
movl ecx, eax
addl 0, esp
popl ebp
retl
",1
function:cJSON_InitHooks,function:cJSON_InitHooks,
"sub sp, sp, 0
mov r1, r0
str r0, [sp, 0]
ldr r0, [sp, 0]
cmp r0, 0
bne <tag>
b <tag>
","pushl ebp
movl esp, ebp
subl 0, esp
movl 0(ebp), eax
cmpl 0, 0(ebp)
movl eax, 0(ebp)
jne <tag>
",1
"ldr r0, <str>
ldr r1, <str>
str r1, [r0]
ldr r1, <str>
str r1, [r0, 0]
ldr r1, <str>
str r1, [r0, 0]
b <tag>
","leal <tag>, eax
movl eax, <tag>
leal <tag>, eax
movl eax, <tag>
leal <tag>, eax
movl eax, <tag>
jmp <tag>
",1
"ldr r0, <str>
ldr r1, <str>
str r1, [r0]
ldr r0, [sp, 0]
ldr r0, [r0]
cmp r0, 0
beq <tag>
b <tag>
","leal <tag>, eax
movl eax, <tag>
movl 0(ebp), eax
cmpl 0, 0(eax)
je <tag>
",1
"ldr r0, [sp, 0]
ldr r0, [r0]
ldr r1, <str>
str r0, [r1]
b <tag>
","movl 0(ebp), eax
movl 0(eax), eax
movl eax, <tag>
",1
"ldr r0, <str>
ldr r1, <str>
str r1, [r0, 0]
ldr r0, [sp, 0]
ldr r0, [r0, 0]
cmp r0, 0
beq <tag>
b <tag>
","leal <tag>, eax
movl eax, <tag>
movl 0(ebp), eax
cmpl 0, 0(eax)
je <tag>
",1
"ldr r0, [sp, 0]
ldr r0, [r0, 0]
ldr r1, <str>
str r0, [r1, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), eax
movl eax, <tag>
",1
"ldr r0, <str>
mov r1, 0
str r1, [r0, 0]
ldr r0, [r0]
ldr r1, <str>
cmp r0, r1
bne <tag>
b <tag>
","movl 0, <tag>
leal <tag>, eax
cmpl eax, <tag>
jne <tag>
",1
"ldr r0, <str>
ldr r0, [r0, 0]
ldr r1, <str>
cmp r0, r1
bne <tag>
b <tag>
","leal <tag>, eax
cmpl eax, <tag>
jne <tag>
",1
"ldr r0, <str>
ldr r1, <str>
str r1, [r0, 0]
b <tag>
","leal <tag>, eax
movl eax, <tag>
",1
"add sp, sp, 0
mov pc, lr
","addl 0, esp
popl ebp
retl
",1
function:cJSON_Delete,function:cJSON_Delete,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r1, r0
str r0, [r11, 0]
mov r0, 0
str r0, [sp, 0]
b <tag>
","pushl ebp
movl esp, ebp
subl 0, esp
movl 0(ebp), eax
movl 0, 0(ebp)
movl eax, 0(ebp)
",1
"ldr r0, [r11, 0]
cmp r0, 0
beq <tag>
b <tag>
","cmpl 0, 0(ebp)
je <tag>
",1
"ldr r0, [r11, 0]
ldr r0, [r0]
str r0, [sp, 0]
ldr r0, [r11, 0]
ldrb r0, [r0, 0]
tst r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(eax), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(eax), eax
andl 0, eax
cmpl 0, eax
jne <tag>
",1
