arm,x86,score
function:x509_new,function:x509_new,
"push {r4, r10, r11, lr}
add r11, sp, 0
sub sp, sp, 0
bic sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [sp, 0]
str r1, [sp, 0]
str r2, [sp, 0]
mvn r0, 0
str r0, [sp, 0]
mov r0, 0
str r0, [sp, 0]
str r0, [sp, 0]
str r0, [sp, 0]
mov r1, 0
mov r2, 0
mov r0, r1
mov r3, r4
bl foo
ldr r1, [sp, 0]
str r0, [r1]
ldr r0, [sp, 0]
ldr r0, [r0]
str r0, [sp, 0]
ldr r0, [sp, 0]
add lr, sp, 0
add r1, lr, 0
mov r2, 0
bl foo
ldr r1, [sp, 0]
add lr, sp, 0
add r2, lr, 0
mov r0, r1
mov r1, r2
bl foo
cmn r0, 0
bgt <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl <tag>, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl esp, ecx
movl 0, 0(ecx)
movl 0, 0(ecx)
movl 0, 0(ecx)
movl 0, 0(ecx)
movl eax, 0(ebp)
movl edx, 0(ebp)
calll foo
movl 0(ebp), ecx
movl eax, 0(ecx)
movl 0(ebp), eax
movl 0(eax), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl 0, 0(esp)
calll foo
movl 0(ebp), ecx
movl ecx, 0(esp)
leal 0(ebp), ecx
movl ecx, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
calll foo
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
str r0, [sp, 0]
ldr r0, [sp, 0]
str r0, [sp, 0]
ldr r0, [sp, 0]
add r1, sp, 0
mov r2, 0
bl foo
ldr r1, [sp, 0]
add lr, sp, 0
add r2, lr, 0
mov r0, r1
mov r1, r2
bl foo
cmn r0, 0
bgt <tag>
b <tag>
","movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl 0, 0(esp)
calll foo
movl 0(ebp), ecx
movl ecx, 0(esp)
leal 0(ebp), ecx
movl ecx, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
calll foo
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldrb r0, [r0, r1]
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movb 0(eax,ecx), dl
movzbl dl, eax
cmpl 0, eax
jne <tag>
",1
"ldr r0, [sp, 0]
add lr, sp, 0
add r1, lr, 0
add r2, sp, 0
bl foo
cmn r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
cmpl <tag>, eax
jne <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
add lr, sp, 0
add r1, lr, 0
mov r2, 0
bl foo
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl 0, 0(esp)
calll foo
cmpl 0, eax
jne <tag>
",1
"ldr r0, [sp, 0]
add lr, sp, 0
add r1, lr, 0
mov r2, 0
bl foo
cmn r0, 0
bgt <tag>
b <tag>
","movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl 0, 0(esp)
calll foo
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r2, [sp, 0]
add lr, sp, 0
add r1, lr, 0
bl foo
cmp r0, 0
beq <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
cmpl 0, eax
je <tag>
",1
"mvn r0, 0
str r0, [sp, 0]
b <tag>
","movl <tag>, 0(ebp)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r2, [sp, 0]
add lr, sp, 0
add r1, lr, 0
bl foo
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
cmpl 0, eax
jne <tag>
",1
"ldr r0, [sp, 0]
ldr r2, [sp, 0]
add lr, sp, 0
add r1, lr, 0
bl foo
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
cmpl 0, eax
jne <tag>
",1
