arm,x86,score
function:get_asn1_length,function:get_asn1_length,
"sub sp, sp, 0
mov r2, r1
mov r3, r0
str r0, [sp, 0]
str r1, [sp, 0]
ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldr r1, [r1]
ldrb r0, [r0, r1]
tst r0, 0
bne <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), edx
movl 0(edx), edx
movb 0(eax,edx), bl
movzbl bl, eax
andl 0, eax
cmpl 0, eax
movl ecx, 0(ebp)
jne <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldr r2, [r1]
add r3, r2, 0
str r3, [r1]
ldrb r0, [r0, r2]
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ecx), edx
movl edx, esi
addl 0, esi
movl esi, 0(ecx)
movb 0(eax,edx), bl
movzbl bl, eax
movl eax, 0(ebp)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldr r2, [r1]
add r3, r2, 0
str r3, [r1]
ldrb r0, [r0, r2]
and r0, r0, 0
str r0, [sp, 0]
mov r0, 0
str r0, [sp, 0]
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ecx), edx
movl edx, esi
addl 0, esi
movl esi, 0(ecx)
movb 0(eax,edx), bl
movzbl bl, eax
andl 0, eax
movl eax, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
cmp r0, r1
bge <tag>
b <tag>
","movl 0(ebp), eax
cmpl 0(ebp), eax
jge <tag>
",1
"ldr r0, [sp, 0]
lsl r0, r0, 0
str r0, [sp, 0]
ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldr r2, [r1]
add r3, r2, 0
str r3, [r1]
ldrb r0, [r0, r2]
ldr r1, [sp, 0]
add r0, r1, r0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
shll 0, eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ecx), edx
movl edx, esi
addl 0, esi
movl esi, 0(ecx)
movb 0(eax,edx), bl
movzbl bl, eax
addl 0(ebp), eax
movl eax, 0(ebp)
",1
"ldr r0, [sp, 0]
add r0, r0, 0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
addl 0, eax
movl eax, 0(ebp)
jmp <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
add sp, sp, 0
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl ebx
popl ebp
retl
",1
function:asn1_next_obj,function:asn1_next_obj,
