arm,x86,score
"b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
cmpl 0, eax
jne <tag>
",0
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r1, r3
mov r12, r2
mov lr, r0
str r0, [r11, 0]
str r3, [r11, 0]
str r2, [r11, 0]
mov r0, 0
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
ldr r0, [r11, 0]
cmp r0, 0
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl edi
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl eax, 0(ebp)
movl ecx, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
cmpl 0, 0(ebp)
movl edx, 0(ebp)
je <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r0, 0]
ldr r2, [r0, 0]
ldr r3, [r0, 0]
ldr r0, [r0, 0]
subs r1, r3, r1
sbcs r0, r0, r2
blo <tag>
b <tag>
","cmpl 0, 0(ebp)
je <tag>
",0
"ldr r0, [sp, 0]
mov r1, 0
str r1, [r0, 0]
ldr r0, [sp, 0]
ldr r1, <str>
bl foo
ldr r1, [sp, 0]
str r0, [r1, 0]
ldr r0, [sp, 0]
ldr r0, [r0, 0]
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0, 0(eax)
movl 0(ebp), eax
movl eax, 0(esp)
leal <tag>, eax
movl eax, 0(esp)
calll foo
movl 0(ebp), ecx
movl eax, 0(ecx)
movl 0(ebp), eax
cmpl 0, 0(eax)
jne <tag>
",1
"mov r0, 0
str r0, [r11, 0]
b <tag>
","movl 0, 0(ebp)
",1
"mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl eax, ecx
addl 0, ecx
movl ecx, 0(ebp)
movb 0(eax), dl
movl 0(ebp), eax
movl eax, ecx
addl 0, ecx
movl ecx, 0(ebp)
movb dl, 0(eax)
",0
"ldr r0, [r11, 0]
ldr r1, [r0, 0]
ldr r0, [r0, 0]
ldr r2, [r11, 0]
ldr r3, [r2, 0]
ldr r2, [r2, 0]
mov r0, r1
mov r2, r3
bl foo
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movsd 0(eax), xmm0
movl 0(ebp), eax
ucomisd 0(eax), xmm0
jne <tag>
jp <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
mov r1, 0
cmp r0, 0
beq <tag>
b <tag>
","xorl eax, eax
movb al, cl
cmpl 0, 0(ebp)
movb cl, 0(ebp)
je <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r2, [r11, 0]
subs r0, r0, r2
sbcs r1, r1, r2, asr 0
mov r2, 0
movlo r2, 0
b <tag>
","movl 0, 0(ebp)
jmp <tag>
",0
"mov r0, 0
str r0, [sp, 0]
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), ecx
movl 0(eax), eax
movl esp, edx
movl ecx, 0(edx)
calll foo
movl 0(ebp), eax
movl 0, 0(eax)
movl 0, 0(eax)
movl 0(ebp), eax
movl 0, 0(eax)
movl 0, 0(ebp)
jmp <tag>
",0
"ldr r0, [sp, 0]
ldr r0, [r0, 0]
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl ecx, 0(esp)
leal <tag>, ecx
movl ecx, 0(esp)
movl eax, 0(ebp)
calll foo
movl 0(ebp), ecx
movl ecx, 0(esp)
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
",0
"b <tag>
","jmp <tag>
",1
"b <tag>
","movl 0, 0(ebp)
jmp <tag>
",0
"ldr r0, [r11, 0]
ldr r0, [r0, 0]
b <tag>
","movl 0(ebp), eax
movsbl 0(eax), eax
cmpl 0, eax
jne <tag>
",0
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r1, r0
str r0, [r11, 0]
mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
subl 0, eax
movl eax, 0(ebp)
je <tag>
jmp <tag>
",0
"ldr r0, [r11, 0]
ldrb r0, [r0]
ldr r1, [r11, 0]
strb r0, [r1]
b <tag>
","movl 0(ebp), eax
movb 0(eax), cl
movl 0(ebp), eax
movb cl, 0(eax)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldrb r0, [r0, r1]
cmp r0, 0
blt <tag>
b <tag>
","movl 0, 0(ebp)
jmp <tag>
",0
"ldr r0, [sp]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl ebp
retl
",0
"ldr r0, [r11, 0]
ldr r0, [r0, 0]
cmp r0, 0
beq <tag>
b <tag>
","jmp <tag>
",0
"ldr r0, [sp, 0]
ldrsb r0, [r0]
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
addl 0, esp
popl ebp
retl
",0
